"ID","Date","Reference Number","Description","Memo","Amount","Category Name"
42,9/24/2018 0:00:00,"0","COLDSTONE #21603","PURCHASE            COLDSTONE #2",-5.29,
43,9/25/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-13.02,
44,9/26/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.24,
45,9/26/2018 0:00:00,"0","CULVER'S OF ROSEVI","PURCHASE            CULVER'S OF",-5.40,
46,9/27/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.49,
47,10/2/2018 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-21.19,
48,10/3/2018 0:00:00,"558901","HY & Y INC","PURCHASE            HY & Y INC",-45.00,
49,10/3/2018 0:00:00,"773445","PLATOS CL 24090 HA","PURCHASE            PLATOS CL 24",-12.72,
50,10/3/2018 0:00:00,"77421","KROGER #774","PURCHASE            KROGER #774",-20.47,
51,10/5/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    181005",467.96,
52,10/5/2018 0:00:00,"0","SALLIEMAE-FDR    AUTOPAY","SALLIEMAE-FDR   AUTOPAY   181003",-45.91,
53,10/9/2018 0:00:00,"0","1140 DOMINOS PIZZA","PURCHASE            1140 DOMINOS",-3.71,
54,10/9/2018 0:00:00,"0","TRAVEL MART 4OH10","PURCHASE            TRAVEL MART",-4.28,
55,10/11/2018 0:00:00,"77401","KROGER #774","PURCHASE            KROGER #774",-3.55,
56,10/12/2018 0:00:00,"907421","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-20.05,
57,10/16/2018 0:00:00,"77402","KROGER #774","PURCHASE            KROGER #774",-6.17,
58,10/19/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    181019",514.01,
59,10/22/2018 0:00:00,"0","TACO BELL 333700333765","PURCHASE            TACO BELL 33",-3.29,
60,10/22/2018 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-47.68,
61,10/22/2018 0:00:00,"907420","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-43.55,
62,10/22/2018 0:00:00,"77403","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-2.85,
63,10/22/2018 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-3.71,
64,10/22/2018 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-3.71,
65,10/22/2018 0:00:00,"907427","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-12.61,
66,10/23/2018 0:00:00,"0","TACO BELL #29978","PURCHASE            TACO BELL #2",-4.34,
67,10/23/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.49,
68,10/23/2018 0:00:00,"77414","KROGER #774","PURCHASE            KROGER #774",-4.52,
69,10/25/2018 0:00:00,"907421","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-12.22,
70,10/25/2018 0:00:00,"77422","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-21.86,
71,10/26/2018 0:00:00,"0","DISCOVER         E-PAYMENT","DISCOVER        E-PAYMENT 181025",-27.60,
72,10/29/2018 0:00:00,"0","1140 DOMINOS PIZZA","PURCHASE            1140 DOMINOS",-10.06,
73,10/29/2018 0:00:00,"0","LITTLE CAESARS 1288 00","PURCHASE            LITTLE CAESA",-3.18,
74,10/30/2018 0:00:00,"77424","KROGER #774","PURCHASE            KROGER #774",-15.72,
75,11/1/2018 0:00:00,"0","TACO BELL 333700333765","PURCHASE            TACO BELL 33",-4.23,
76,11/1/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.24,
77,11/1/2018 0:00:00,"907421","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-16.58,
78,11/2/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    181102",434.02,
79,11/5/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.24,
80,11/5/2018 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-3.71,
81,11/5/2018 0:00:00,"0","TACO BELL #29978","PURCHASE            TACO BELL #2",-28.55,
82,11/5/2018 0:00:00,"0","SALLIEMAE-FDR    AUTOPAY","SALLIEMAE-FDR   AUTOPAY   181102",-45.91,
83,11/13/2018 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-14.07,
84,11/13/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.24,
85,11/14/2018 0:00:00,"77411","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-5.52,
86,11/15/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.24,
87,11/16/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    181116",421.91,
88,11/19/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.24,
89,11/19/2018 0:00:00,"20000","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-2.95,
90,11/21/2018 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-12.48,
91,11/21/2018 0:00:00,"396001","DOLLAR TREE","PURCHASE            DOLLAR TREE",-1.06,
92,11/23/2018 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-21.19,
93,11/23/2018 0:00:00,"907416","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-20.32,
94,11/30/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    181130",727.30,
95,12/3/2018 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-4.34,
96,12/3/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.70,
97,12/3/2018 0:00:00,"907410","KROGER FUEL 90","PURCHASE            KROGER FUEL",-3.20,
98,12/3/2018 0:00:00,"0","HARTLAND RURAL KING","PURCHASE            HARTLAND RUR",-42.01,
99,12/3/2018 0:00:00,"20000","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-3.71,
100,12/3/2018 0:00:00,"245100","MEIJER # 245","PURCHASE            MEIJER # 245",-6.39,
101,12/5/2018 0:00:00,"0","SALLIEMAE-FDR    AUTOPAY","SALLIEMAE-FDR   AUTOPAY   181203",-45.91,
102,12/6/2018 0:00:00,"0","CASTLEBRANCH APP","PURCHASE            CASTLEBRANCH",-20.90,
103,12/6/2018 0:00:00,"10000","AUTOZONE  31009 HA","PURCHASE            AUTOZONE  31",-9.00,
104,12/7/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.27,
105,12/7/2018 0:00:00,"77423","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-2.29,
106,12/10/2018 0:00:00,"0","CASTLEBRANCH APP","PURCHASE            CASTLEBRANCH",-7.00,
107,12/14/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    181214",419.48,
108,12/14/2018 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-18.68,
109,12/17/2018 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-21.19,
110,12/17/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.35,
111,12/17/2018 0:00:00,"0","THE COPPER PENNY","PURCHASE            THE COPPER P",-20.00,
112,12/18/2018 0:00:00,"188842","THE HOME DEPOT #27","PURCHASE            THE HOME DEP",-26.33,
113,12/18/2018 0:00:00,"63103","MEIJER # 063","PURCHASE            MEIJER # 063",-19.18,
114,12/18/2018 0:00:00,"36800","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-44.56,
115,12/19/2018 0:00:00,"396101","MS FUELS","PURCHASE            MS FUELS",-34.12,
116,12/19/2018 0:00:00,"63102","MEIJER # 063","PURCHASE            MEIJER # 063",-51.55,
117,12/20/2018 0:00:00,"0","HARTLAND BIG BOY","PURCHASE            HARTLAND BIG",-25.53,
118,12/24/2018 0:00:00,"77401","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-19.51,
119,12/24/2018 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-8.38,
120,12/24/2018 0:00:00,"396001","DOLLAR TREE","PURCHASE            DOLLAR TREE",-8.48,
121,12/24/2018 0:00:00,"63103","MEIJER # 063","PURCHASE            MEIJER # 063",-9.37,
122,12/26/2018 0:00:00,"0","HARTLAND BIG BOY","PURCHASE            HARTLAND BIG",-30.00,
123,12/26/2018 0:00:00,"600001","CLYDE ROAD","PURCHASE            CLYDE ROAD",-1.19,
124,12/26/2018 0:00:00,"63104","MEIJER # 063","PURCHASE            MEIJER # 063",-15.25,
125,12/27/2018 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-9.80,
126,12/27/2018 0:00:00,"77412","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-14.55,
127,12/28/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    181228",332.63,
128,12/31/2018 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-1.86,
129,12/31/2018 0:00:00,"130000","AUTOZONE  11381 HI","PURCHASE            AUTOZONE  11",-58.26,
130,12/31/2018 0:00:00,"20057","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-1.58,
131,1/2/2019 0:00:00,"0","CULVER'S OF ROSEVI","PURCHASE            CULVER'S OF",-14.71,
132,1/2/2019 0:00:00,"63113","MEIJER # 063","PURCHASE            MEIJER # 063",-6.79,
133,1/2/2019 0:00:00,"308021","WALGREENS 32201 HA","PURCHASE            WALGREENS 32",-34.26,
134,1/4/2019 0:00:00,"0","AMZN MKTP US*M249G4262","PURCHASE            AMZN MKTP US",-7.99,
135,1/4/2019 0:00:00,"0","AMZN MKTP US*M28XV0232","PURCHASE            AMZN MKTP US",-22.95,
136,1/4/2019 0:00:00,"0","RED ROBIN ROSEVILL","PURCHASE            RED ROBIN RO",-24.83,
137,1/4/2019 0:00:00,"77404","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-4.98,
138,1/4/2019 0:00:00,"907426","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-13.16,
139,1/7/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-11.32,
140,1/7/2019 0:00:00,"0","AMZN MKTP US*M26LD09V2","PURCHASE            AMZN MKTP US",-16.99,
141,1/7/2019 0:00:00,"0","THE COPPER PENNY","PURCHASE            THE COPPER P",-19.72,
142,1/7/2019 0:00:00,"0","SHOE CARNIVAL #546","PURCHASE            SHOE CARNIVA",-68.89,
143,1/7/2019 0:00:00,"0","CULVER'S OF ROSEVI","PURCHASE            CULVER'S OF",-20.33,
144,1/7/2019 0:00:00,"0","SALLIEMAE-FDR    AUTOPAY","SALLIEMAE-FDR   AUTOPAY   190103",-45.91,
145,1/9/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-19.37,
146,1/10/2019 0:00:00,"131","HEFLING'S AMISH FA","PURCHASE            HEFLING'S AM",-16.49,
147,1/11/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190111",154.80,
148,1/11/2019 0:00:00,"77423","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-16.01,
149,1/14/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.35,
150,1/16/2019 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-21.19,
151,1/22/2019 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-1.86,
152,1/22/2019 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-1.86,
153,1/23/2019 0:00:00,"907419","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-23.41,
154,1/24/2019 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-21.19,
155,1/25/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190125",95.53,
156,1/28/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.35,
157,1/28/2019 0:00:00,"63104","MEIJER # 063","PURCHASE            MEIJER # 063",-64.11,
158,1/28/2019 0:00:00,"0","CULVER'S OF ROSEVI","PURCHASE            CULVER'S OF",-5.40,
159,1/28/2019 0:00:00,"77413","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-4.99,
160,1/30/2019 0:00:00,"0","THE COPPER PENNY","PURCHASE            THE COPPER P",-21.15,
161,1/30/2019 0:00:00,"77425","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-17.14,
162,2/4/2019 0:00:00,"1","7-ELEVEN","PURCHASE            7-ELEVEN",-1.47,
163,2/4/2019 0:00:00,"110000","AUTOZONE  11381 HI","PURCHASE            AUTOZONE  11",-3.91,
164,2/4/2019 0:00:00,"0","LITTLE CAESARS 186 Q67","PURCHASE            LITTLE CAESA",-12.19,
165,2/4/2019 0:00:00,"0","LITTLE CAESARS 186 Q67","PURCHASE            LITTLE CAESA",-4.24,
166,2/4/2019 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-1.05,
167,2/4/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.47,
168,2/4/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   190203",-45.91,
169,2/6/2019 0:00:00,"0","CULVER'S OF ROSEVI","PURCHASE            CULVER'S OF",-9.57,
170,2/7/2019 0:00:00,"0","RED ROBIN ROSEVILLE","PURCHASE            RED ROBIN RO",-13.65,
171,2/8/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190208",100.62,
172,2/8/2019 0:00:00,"0","MICH SOS ONLINE TRANS","PURCHASE            MICH SOS ONL",-100.00,
173,2/8/2019 0:00:00,"0","INTUIT *TURBOTAX","PURCHASE            INTUIT *TURB",-79.98,
174,2/11/2019 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-10.67,
175,2/11/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.35,
176,2/11/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.05,
177,2/19/2019 0:00:00,"308021","WALGREENS STOR","PURCHASE            WALGREENS ST",-3.81,
178,2/22/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190222",189.40,
179,2/25/2019 0:00:00,"44403","KROGER #4 10059 HI","PURCHASE            KROGER #4 10",-2.36,
180,2/25/2019 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-1.86,
181,2/28/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-5.29,
182,3/4/2019 0:00:00,"0","STATEOFMICHIGAN  PMT/REFUND","STATEOFMICHIGAN PMT/REFUND190227",199.00,
183,3/4/2019 0:00:00,"20082","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-3.71,
184,3/4/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   190303",-45.91,
185,3/6/2019 0:00:00,"0","IRS  TREAS 310     TAX REF","IRS  TREAS 310    TAX REF 030619",1826.80,
186,3/7/2019 0:00:00,"0",,"DEPOSIT",2205.58,
187,3/7/2019 0:00:00,"907421","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-25.91,
188,3/8/2019 0:00:00,"63142","MEIJER # 063","PURCHASE            MEIJER # 063",-20.65,
189,3/8/2019 0:00:00,"63101","MEIJER # 063","PURCHASE            MEIJER # 063",-7.17,
190,3/8/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.47,
191,3/11/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.35,
192,3/11/2019 0:00:00,"0","RED ROBIN ROSEVILLE","PURCHASE            RED ROBIN RO",-24.83,
193,3/12/2019 0:00:00,"0","SALLIEMAEBANK    SMBPayment","SALLIEMAEBANK   SMBPayment190312",-100.00,
194,3/15/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-10.58,
195,3/15/2019 0:00:00,"63103","MEIJER # 063","PURCHASE            MEIJER # 063",-32.92,
196,3/18/2019 0:00:00,"0","USA LOCK AND SAFE","PURCHASE            USA LOCK AND",-16.00,
197,3/18/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-6.48,
198,3/18/2019 0:00:00,"0","STUDIO 5 SALON","PURCHASE            STUDIO 5 SAL",-40.00,
199,3/18/2019 0:00:00,"0","CULVER'S OF ROSEVI","PURCHASE            CULVER'S OF",-9.31,
200,3/18/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.47,
201,3/21/2019 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-4.34,
202,3/21/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-12.98,
203,3/22/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190322",372.22,
204,3/25/2019 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-12.90,
205,3/25/2019 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-47.68,
206,3/26/2019 0:00:00,"907427","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-18.49,
207,3/26/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.47,
208,3/28/2019 0:00:00,"396101","MS FUELS","PURCHASE            MS FUELS",-8.50,
209,3/29/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.05,
210,4/1/2019 0:00:00,"0","LITTLE CAESARS 1288 00","PURCHASE            LITTLE CAESA",-5.30,
211,4/1/2019 0:00:00,"4359","HUNTINGTON ATM CASH WITHDRAWAL","HUNTINGTON ATM CASH WITHDRAWAL",-60.00,
212,4/1/2019 0:00:00,"63112","MEIJER # 063","PURCHASE            MEIJER # 063",-4.01,
213,4/1/2019 0:00:00,"907426","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-39.94,
214,4/1/2019 0:00:00,"63106","MEIJER # 063","PURCHASE            MEIJER # 063",-4.37,
215,4/1/2019 0:00:00,"925709",,"WITHDRAWAL",-1500.00,
216,4/2/2019 0:00:00,"0","ESURANCE CAR INSURANCE","PURCHASE            ESURANCE CAR",-855.50,
217,4/4/2019 0:00:00,"0",,"MERCHANDISE RET     ESURANCE CAR",845.66,
218,4/4/2019 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-4.34,
219,4/4/2019 0:00:00,"0","CULVER'S OF ROSEVI","PURCHASE            CULVER'S OF",-14.17,
220,4/4/2019 0:00:00,"0","SALLIE MAE BANK  AUTOPAY","SALLIE MAE BANK AUTOPAY   190403",-45.91,
221,4/5/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190405",54.62,
222,4/5/2019 0:00:00,"0","OAKLAND CAFETERIA","PURCHASE            OAKLAND CAFE",-5.81,
223,4/5/2019 0:00:00,"907423","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-30.18,
224,4/5/2019 0:00:00,"77412","KROGER #7 20891 E.","PURCHASE            KROGER #7 20",-5.90,
225,4/8/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.35,
226,4/8/2019 0:00:00,"0","HARTLAND RURAL KING","PURCHASE            HARTLAND RUR",-3.15,
227,4/8/2019 0:00:00,"0","CULVER'S OF HARTLA","PURCHASE            CULVER'S OF",-9.62,
228,4/8/2019 0:00:00,"0","HARTLAND RURAL KING","PURCHASE            HARTLAND RUR",-26.13,
229,4/8/2019 0:00:00,"0","THE COPPER PENNY","PURCHASE            THE COPPER P",-23.94,
230,4/8/2019 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-1.47,
231,4/10/2019 0:00:00,"0","1-CONTINENTAL DISTRIBU","PURCHASE            1-CONTINENTA",-1.99,
232,4/10/2019 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-6.44,
233,4/10/2019 0:00:00,"63099","MEIJER # 063","PURCHASE            MEIJER # 063",-21.69,
234,4/11/2019 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-4.34,
235,4/11/2019 0:00:00,"0","GREAT LAKES ACE HDWE","PURCHASE            GREAT LAKES",-8.27,
236,4/12/2019 0:00:00,"0","OAKLAND CAFETERIA","PURCHASE            OAKLAND CAFE",-2.11,
237,4/15/2019 0:00:00,"0","OAKLAND CAFETERIA","PURCHASE            OAKLAND CAFE",-1.59,
238,4/15/2019 0:00:00,"0","1140 DOMINOS PIZZA","PURCHASE            1140 DOMINOS",-10.06,
239,4/15/2019 0:00:00,"4344","HUNTINGTON ATM CASH WITHDRAWAL","HUNTINGTON ATM CASH WITHDRAWAL",-160.00,
240,4/15/2019 0:00:00,"63105","MEIJER # 063","PURCHASE            MEIJER # 063",-195.13,
241,4/17/2019 0:00:00,"0","TIM HORTONS #914345","PURCHASE            TIM HORTONS",-1.86,
242,4/19/2019 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    190419",54.62,
243,4/19/2019 0:00:00,"0","OAKLAND CAFETERIA","PURCHASE            OAKLAND CAFE",-8.43,
244,4/22/2019 0:00:00,"0","OAKLAND CAFETERIA","PURCHASE            OAKLAND CAFE",-5.81,
245,4/26/2019 0:00:00,"0","CULVERS OF ROSEVILLE","PURCHASE            CULVERS OF R",-19.16,
246,5/1/2019 0:00:00,"0","RED ROBIN ROSEVILLE","PURCHASE            RED ROBIN RO",-28.59,
247,5/2/2019 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-12.27,
248,5/2/2019 0:00:00,"0","NINO SALVAGGIO - SCS","PURCHASE            NINO SALVAGG",-15.22,
249,5/2/2019 0:00:00,"63016","MEIJER # 063","PURCHASE            MEIJER # 063",-22.36,
250,5/3/2019 0:00:00,"0","TROPICAL SMOOTHIE MI 3","PURCHASE            TROPICAL SMO",-10.58,
251,5/3/2019 0:00:00,"0","OAKLAND CAFETERIA","PURCHASE            OAKLAND CAFE",-6.22,
252,5/3/2019 0:00:00,"396101","MS FUELS","PURCHASE            MS FUELS",-19.11,
